,prompt,word_count,token_count
0,What is the capital of Afghanistan?,6,7
1,What is the capital of Albania?,6,7
2,What is the capital of Algeria?,6,7
3,What is the capital of Andorra?,6,7
4,What is the capital of Angola?,6,7
5,What is the capital of Antigua and Barbuda?,8,9
6,What is the capital of Argentina?,6,7
7,What is the capital of Armenia?,6,7
8,What is the capital of Australia?,6,7
9,What is the capital of Austria?,6,7
10,What is the capital of Azerbaijan?,6,7
11,What is the capital of Bahamas?,6,7
12,What is the capital of Bahrain?,6,7
13,What is the capital of Bangladesh?,6,7
14,What is the capital of Barbados?,6,7
15,What is the capital of Belarus?,6,7
16,What is the capital of Belgium?,6,7
17,What is the capital of Belize?,6,7
18,What is the capital of Benin?,6,7
19,What is the capital of Bhutan?,6,7
20,What is the capital of Bolivia?,6,7
21,What is the capital of Bosnia and Herzegovina?,8,9
22,What is the capital of Botswana?,6,7
23,What is the capital of Brazil?,6,7
24,What is the capital of Brunei?,6,7
25,What is the capital of Bulgaria?,6,7
26,What is the capital of Burkina Faso?,7,8
27,What is the capital of Burundi?,6,7
28,What is the capital of Cabo Verde?,7,8
29,What is the capital of Cambodia?,6,7
30,What is the capital of Cameroon?,6,7
31,What is the capital of Canada?,6,7
32,What is the capital of Central African Republic?,8,9
33,What is the capital of Chad?,6,7
34,What is the capital of Chile?,6,7
35,What is the capital of China?,6,7
36,What is the capital of Colombia?,6,7
37,What is the capital of Comoros?,6,8
38,What is the capital of Congo (Republic of the)?,9,11
39,What is the capital of Congo (Democratic Republic of the)?,10,13
40,What is the capital of Costa Rica?,7,8
41,What is the capital of Côte d'Ivoire?,8,8
42,What is the capital of Croatia?,6,7
43,What is the capital of Cuba?,6,7
44,What is the capital of Cyprus?,6,7
45,What is the capital of Czechia?,6,8
46,What is the capital of Denmark?,6,7
47,What is the capital of Djibouti?,6,7
48,What is the capital of Dominica?,6,7
49,What is the capital of Dominican Republic?,7,8
50,What is the capital of Ecuador?,6,7
51,What is the capital of Egypt?,6,7
52,What is the capital of El Salvador?,7,8
53,What is the capital of Equatorial Guinea?,7,8
54,What is the capital of Eritrea?,6,7
55,What is the capital of Estonia?,6,7
56,What is the capital of Eswatini?,6,9
57,What is the capital of Ethiopia?,6,7
58,What is the capital of Fiji?,6,7
59,What is the capital of Finland?,6,7
60,What is the capital of France?,6,7
61,What is the capital of Gabon?,6,7
62,What is the capital of Gambia?,6,7
63,What is the capital of Georgia?,6,7
64,What is the capital of Germany?,6,7
65,What is the capital of Ghana?,6,7
66,What is the capital of Greece?,6,7
67,What is the capital of Grenada?,6,7
68,What is the capital of Guatemala?,6,7
69,What is the capital of Guinea?,6,7
70,What is the capital of Guinea-Bissau?,7,7
71,What is the capital of Guyana?,6,7
72,What is the capital of Haiti?,6,7
73,What is the capital of Honduras?,6,7
74,What is the capital of Hungary?,6,7
75,What is the capital of Iceland?,6,7
76,What is the capital of India?,6,7
77,What is the capital of Indonesia?,6,7
78,What is the capital of Iran?,6,7
79,What is the capital of Iraq?,6,7
80,What is the capital of Ireland?,6,7
81,What is the capital of Israel?,6,7
82,What is the capital of Italy?,6,7
83,What is the capital of Jamaica?,6,7
84,What is the capital of Japan?,6,7
85,What is the capital of Jordan?,6,7
86,What is the capital of Kazakhstan?,6,7
87,What is the capital of Kenya?,6,7
88,What is the capital of Kiribati?,6,7
89,What is the capital of Kuwait?,6,7
90,What is the capital of Kyrgyzstan?,6,7
91,What is the capital of Laos?,6,7
92,What is the capital of Latvia?,6,7
93,What is the capital of Lebanon?,6,7
94,What is the capital of Lesotho?,6,7
95,What is the capital of Liberia?,6,7
96,What is the capital of Libya?,6,7
97,What is the capital of Liechtenstein?,6,7
98,What is the capital of Lithuania?,6,7
99,What is the capital of Luxembourg?,6,7
100,What is the capital of Madagascar?,6,7
101,What is the capital of Malawi?,6,7
102,What is the capital of Malaysia?,6,7
103,What is the capital of Maldives?,6,7
104,What is the capital of Mali?,6,7
105,What is the capital of Malta?,6,7
106,What is the capital of Marshall Islands?,7,8
107,What is the capital of Mauritania?,6,7
108,What is the capital of Mauritius?,6,7
109,What is the capital of Mexico?,6,7
110,What is the capital of Micronesia?,6,9
111,What is the capital of Moldova?,6,7
112,What is the capital of Mongolia?,6,7
113,What is the capital of Montenegro?,6,7
114,What is the capital of Morocco?,6,7
115,What is the capital of Mozambique?,6,7
116,What is the capital of Myanmar?,6,7
117,What is the capital of Namibia?,6,7
118,What is the capital of Nauru?,6,7
119,What is the capital of Nepal?,6,7
120,What is the capital of Netherlands?,6,7
121,What is the capital of New Zealand?,7,8
122,What is the capital of Nicaragua?,6,7
123,What is the capital of Niger?,6,7
124,What is the capital of Nigeria?,6,7
125,What is the capital of North Korea?,7,8
126,What is the capital of North Macedonia?,7,8
127,What is the capital of Norway?,6,7
128,What is the capital of Oman?,6,7
129,What is the capital of Pakistan?,6,7
130,What is the capital of Palau?,6,7
131,What is the capital of Panama?,6,7
132,What is the capital of Papua New Guinea?,8,9
133,What is the capital of Paraguay?,6,7
134,What is the capital of Peru?,6,7
135,What is the capital of Philippines?,6,7
136,What is the capital of Poland?,6,7
137,What is the capital of Portugal?,6,7
138,What is the capital of Qatar?,6,7
139,What is the capital of Romania?,6,7
140,What is the capital of Russia?,6,7
141,What is the capital of Rwanda?,6,7
142,What is the capital of Saint Kitts and Nevis?,9,10
143,What is the capital of Saint Lucia?,7,8
144,What is the capital of Saint Vincent and the Grenadines?,10,12
145,What is the capital of Samoa?,6,7
146,What is the capital of San Marino?,7,8
147,What is the capital of São Tomé and Príncipe?,9,10
148,What is the capital of Saudi Arabia?,7,8
149,What is the capital of Senegal?,6,7
150,What is the capital of Serbia?,6,7
151,What is the capital of Seychelles?,6,7
152,What is the capital of Sierra Leone?,7,8
153,What is the capital of Singapore?,6,7
154,What is the capital of Slovakia?,6,7
155,What is the capital of Slovenia?,6,7
156,What is the capital of Solomon Islands?,7,8
157,What is the capital of Somalia?,6,7
158,What is the capital of South Africa?,7,8
159,What is the capital of South Korea?,7,8
160,What is the capital of South Sudan?,7,8
161,What is the capital of Spain?,6,7
162,What is the capital of Sri Lanka?,7,8
163,What is the capital of Sudan?,6,7
164,What is the capital of Suriname?,6,7
165,What is the capital of Sweden?,6,7
166,What is the capital of Switzerland?,6,7
167,What is the capital of Syria?,6,7
168,What is the capital of Tajikistan?,6,7
169,What is the capital of Tanzania?,6,7
170,What is the capital of Thailand?,6,7
171,What is the capital of Timor-Leste?,7,7
172,What is the capital of Togo?,6,7
173,What is the capital of Tonga?,6,7
174,What is the capital of Trinidad and Tobago?,8,9
175,What is the capital of Tunisia?,6,7
176,What is the capital of Türkiye?,6,10
177,What is the capital of Turkmenistan?,6,7
178,What is the capital of Tuvalu?,6,7
179,What is the capital of Uganda?,6,7
180,What is the capital of Ukraine?,6,7
181,What is the capital of United Arab Emirates?,8,9
182,What is the capital of United Kingdom?,7,8
183,What is the capital of United States?,7,8
184,What is the capital of Uruguay?,6,7
185,What is the capital of Uzbekistan?,6,7
186,What is the capital of Vanuatu?,6,7
187,What is the capital of Venezuela?,6,7
188,What is the capital of Vietnam?,6,7
189,What is the capital of Yemen?,6,7
190,What is the capital of Zambia?,6,7
191,What is the capital of Zimbabwe?,6,7
192,What is the capital of Holy See?,7,8
193,What is the capital of State of Palestine?,8,9
194,What is the year of independence of Afghanistan?,8,9
195,What is the year of independence of Albania?,8,9
196,What is the year of independence of Algeria?,8,9
197,What is the year of independence of Andorra?,8,9
198,What is the year of independence of Angola?,8,9
199,What is the year of independence of Antigua and Barbuda?,10,11
200,What is the year of independence of Argentina?,8,9
201,What is the year of independence of Armenia?,8,9
202,What is the year of independence of Australia?,8,9
203,What is the year of independence of Austria?,8,9
204,What is the year of independence of Azerbaijan?,8,9
205,What is the year of independence of Bahamas?,8,9
206,What is the year of independence of Bahrain?,8,9
207,What is the year of independence of Bangladesh?,8,9
208,What is the year of independence of Barbados?,8,9
209,What is the year of independence of Belarus?,8,9
210,What is the year of independence of Belgium?,8,9
211,What is the year of independence of Belize?,8,9
212,What is the year of independence of Benin?,8,9
213,What is the year of independence of Bhutan?,8,9
214,What is the year of independence of Bolivia?,8,9
215,What is the year of independence of Bosnia and Herzegovina?,10,11
216,What is the year of independence of Botswana?,8,9
217,What is the year of independence of Brazil?,8,9
218,What is the year of independence of Brunei?,8,9
219,What is the year of independence of Bulgaria?,8,9
220,What is the year of independence of Burkina Faso?,9,10
221,What is the year of independence of Burundi?,8,9
222,What is the year of independence of Cabo Verde?,9,10
223,What is the year of independence of Cambodia?,8,9
224,What is the year of independence of Cameroon?,8,9
225,What is the year of independence of Canada?,8,9
226,What is the year of independence of Central African Republic?,10,11
227,What is the year of independence of Chad?,8,9
228,What is the year of independence of Chile?,8,9
229,What is the year of independence of China?,8,9
230,What is the year of independence of Colombia?,8,9
231,What is the year of independence of Comoros?,8,10
232,What is the year of independence of Congo (Republic of the)?,11,13
233,What is the year of independence of Congo (Democratic Republic of the)?,12,15
234,What is the year of independence of Costa Rica?,9,10
235,What is the year of independence of Côte d'Ivoire?,10,10
236,What is the year of independence of Croatia?,8,9
237,What is the year of independence of Cuba?,8,9
238,What is the year of independence of Cyprus?,8,9
239,What is the year of independence of Czechia?,8,10
240,What is the year of independence of Denmark?,8,9
241,What is the year of independence of Djibouti?,8,9
242,What is the year of independence of Dominica?,8,9
243,What is the year of independence of Dominican Republic?,9,10
244,What is the year of independence of Ecuador?,8,9
245,What is the year of independence of Egypt?,8,9
246,What is the year of independence of El Salvador?,9,10
247,What is the year of independence of Equatorial Guinea?,9,10
248,What is the year of independence of Eritrea?,8,9
249,What is the year of independence of Estonia?,8,9
250,What is the year of independence of Eswatini?,8,11
251,What is the year of independence of Ethiopia?,8,9
252,What is the year of independence of Fiji?,8,9
253,What is the year of independence of Finland?,8,9
254,What is the year of independence of France?,8,9
255,What is the year of independence of Gabon?,8,9
256,What is the year of independence of Gambia?,8,9
257,What is the year of independence of Georgia?,8,9
258,What is the year of independence of Germany?,8,9
259,What is the year of independence of Ghana?,8,9
260,What is the year of independence of Greece?,8,9
261,What is the year of independence of Grenada?,8,9
262,What is the year of independence of Guatemala?,8,9
263,What is the year of independence of Guinea?,8,9
264,What is the year of independence of Guinea-Bissau?,9,9
265,What is the year of independence of Guyana?,8,9
266,What is the year of independence of Haiti?,8,9
267,What is the year of independence of Honduras?,8,9
268,What is the year of independence of Hungary?,8,9
269,What is the year of independence of Iceland?,8,9
270,What is the year of independence of India?,8,9
271,What is the year of independence of Indonesia?,8,9
272,What is the year of independence of Iran?,8,9
273,What is the year of independence of Iraq?,8,9
274,What is the year of independence of Ireland?,8,9
275,What is the year of independence of Israel?,8,9
276,What is the year of independence of Italy?,8,9
277,What is the year of independence of Jamaica?,8,9
278,What is the year of independence of Japan?,8,9
279,What is the year of independence of Jordan?,8,9
280,What is the year of independence of Kazakhstan?,8,9
281,What is the year of independence of Kenya?,8,9
282,What is the year of independence of Kiribati?,8,9
283,What is the year of independence of Kuwait?,8,9
284,What is the year of independence of Kyrgyzstan?,8,9
285,What is the year of independence of Laos?,8,9
286,What is the year of independence of Latvia?,8,9
287,What is the year of independence of Lebanon?,8,9
288,What is the year of independence of Lesotho?,8,9
289,What is the year of independence of Liberia?,8,9
290,What is the year of independence of Libya?,8,9
291,What is the year of independence of Liechtenstein?,8,9
292,What is the year of independence of Lithuania?,8,9
293,What is the year of independence of Luxembourg?,8,9
294,What is the year of independence of Madagascar?,8,9
295,What is the year of independence of Malawi?,8,9
296,What is the year of independence of Malaysia?,8,9
297,What is the year of independence of Maldives?,8,9
298,What is the year of independence of Mali?,8,9
299,What is the year of independence of Malta?,8,9
300,What is the year of independence of Marshall Islands?,9,10
301,What is the year of independence of Mauritania?,8,9
302,What is the year of independence of Mauritius?,8,9
303,What is the year of independence of Mexico?,8,9
304,What is the year of independence of Micronesia?,8,11
305,What is the year of independence of Moldova?,8,9
306,What is the year of independence of Mongolia?,8,9
307,What is the year of independence of Montenegro?,8,9
308,What is the year of independence of Morocco?,8,9
309,What is the year of independence of Mozambique?,8,9
310,What is the year of independence of Myanmar?,8,9
311,What is the year of independence of Namibia?,8,9
312,What is the year of independence of Nauru?,8,9
313,What is the year of independence of Nepal?,8,9
314,What is the year of independence of Netherlands?,8,9
315,What is the year of independence of New Zealand?,9,10
316,What is the year of independence of Nicaragua?,8,9
317,What is the year of independence of Niger?,8,9
318,What is the year of independence of Nigeria?,8,9
319,What is the year of independence of North Korea?,9,10
320,What is the year of independence of North Macedonia?,9,10
321,What is the year of independence of Norway?,8,9
322,What is the year of independence of Oman?,8,9
323,What is the year of independence of Pakistan?,8,9
324,What is the year of independence of Palau?,8,9
325,What is the year of independence of Panama?,8,9
326,What is the year of independence of Papua New Guinea?,10,11
327,What is the year of independence of Paraguay?,8,9
328,What is the year of independence of Peru?,8,9
329,What is the year of independence of Philippines?,8,9
330,What is the year of independence of Poland?,8,9
331,What is the year of independence of Portugal?,8,9
332,What is the year of independence of Qatar?,8,9
333,What is the year of independence of Romania?,8,9
334,What is the year of independence of Russia?,8,9
335,What is the year of independence of Rwanda?,8,9
336,What is the year of independence of Saint Kitts and Nevis?,11,12
337,What is the year of independence of Saint Lucia?,9,10
338,What is the year of independence of Saint Vincent and the Grenadines?,12,14
339,What is the year of independence of Samoa?,8,9
340,What is the year of independence of San Marino?,9,10
341,What is the year of independence of São Tomé and Príncipe?,11,12
342,What is the year of independence of Saudi Arabia?,9,10
343,What is the year of independence of Senegal?,8,9
344,What is the year of independence of Serbia?,8,9
345,What is the year of independence of Seychelles?,8,9
346,What is the year of independence of Sierra Leone?,9,10
347,What is the year of independence of Singapore?,8,9
348,What is the year of independence of Slovakia?,8,9
349,What is the year of independence of Slovenia?,8,9
350,What is the year of independence of Solomon Islands?,9,10
351,What is the year of independence of Somalia?,8,9
352,What is the year of independence of South Africa?,9,10
353,What is the year of independence of South Korea?,9,10
354,What is the year of independence of South Sudan?,9,10
355,What is the year of independence of Spain?,8,9
356,What is the year of independence of Sri Lanka?,9,10
357,What is the year of independence of Sudan?,8,9
358,What is the year of independence of Suriname?,8,9
359,What is the year of independence of Sweden?,8,9
360,What is the year of independence of Switzerland?,8,9
361,What is the year of independence of Syria?,8,9
362,What is the year of independence of Tajikistan?,8,9
363,What is the year of independence of Tanzania?,8,9
364,What is the year of independence of Thailand?,8,9
365,What is the year of independence of Timor-Leste?,9,9
366,What is the year of independence of Togo?,8,9
367,What is the year of independence of Tonga?,8,9
368,What is the year of independence of Trinidad and Tobago?,10,11
369,What is the year of independence of Tunisia?,8,9
370,What is the year of independence of Türkiye?,8,12
371,What is the year of independence of Turkmenistan?,8,9
372,What is the year of independence of Tuvalu?,8,9
373,What is the year of independence of Uganda?,8,9
374,What is the year of independence of Ukraine?,8,9
375,What is the year of independence of United Arab Emirates?,10,11
376,What is the year of independence of United Kingdom?,9,10
377,What is the year of independence of United States?,9,10
378,What is the year of independence of Uruguay?,8,9
379,What is the year of independence of Uzbekistan?,8,9
380,What is the year of independence of Vanuatu?,8,9
381,What is the year of independence of Venezuela?,8,9
382,What is the year of independence of Vietnam?,8,9
383,What is the year of independence of Yemen?,8,9
384,What is the year of independence of Zambia?,8,9
385,What is the year of independence of Zimbabwe?,8,9
386,What is the year of independence of Holy See?,9,10
387,What is the year of independence of State of Palestine?,10,11
388,Outline causes applied intermediate engineering during practical renewable?,8,10
389,Summarize examples marketing weather science metrics?,6,9
390,Show guidelines qualitative without solutions global weather briefly?,8,9
391,Give nutrition challenges software sports examples beginner?,7,8
392,Show to metrics origin simply causes?,6,7
393,Identify ai now major transport intermediate medieval networks?,8,10
394,Describe advanced science effects beginner definition?,6,8
395,Discuss music ai marketing qualitative astronomy astronomy benefits rural?,9,11
396,Outline typical anthropology security common ideas?,6,9
397,Identify urban nutrition minor uses ethical technology digital?,8,10
398,Define with practical art major economics music weather?,8,9
399,Show common medicine outcomes geology management technology practical?,8,10
400,Compare business sociology ancient strategies main?,6,8
401,Provide everyday engineering clearly features computing transport environment?,8,10
402,Summarize about linguistics challenges steps contemporary marketing without?,8,12
403,Discuss economics geography in security best environment in?,8,11
404,Contrast from simply typical energy practical physics algebra?,8,10
405,Define linguistics core tools energy patterns everyday linguistics?,8,11
406,Discuss applied to definition renewable history?,6,8
407,Discuss main causes causes transport major contemporary in?,8,10
408,Outline with advanced intermediate chemistry tools typical software?,8,10
409,Outline law health about methods rural?,6,8
410,Discuss medicine networks renewable in in?,6,8
411,List overview beyond geography medicine sustainable common sports?,8,10
412,Give history practice causes overview main?,6,7
413,List art law geometry during advanced ethical agriculture?,8,9
414,Describe education benefits comparison overview strategies?,6,8
415,List engineering music design literature ethical theoretical philosophy typical guidelines?,10,11
416,Compare essential features patterns architecture patterns without rural?,8,9
417,Summarize drawbacks challenges strategies modern effects?,6,10
418,Show algebra intermediate advanced principles beginner?,6,7
419,Explain professional briefly qualitative core theoretical rural urban?,8,10
420,Contrast rural overview principles music global?,6,8
422,Explain typical main ideas ideas classical transport engineering?,8,10
423,Show medieval music chemistry ecology statistics rural effects?,8,10
424,Name music internet environment digital science?,6,7
425,List core trends beginner urban urban definition analysis?,8,9
426,Contrast now to quantitative without on comparison energy?,8,10
427,Name ideas during with calculus processes approaches best?,8,9
428,Outline main tools clearly minor solutions?,6,8
429,Give nutrition data practical rural technology?,6,7
430,Contrast history ancient weather ideas during about beginner?,8,10
431,Show business literature within impacts law with simply?,8,9
432,Identify literature now steps industrial climate?,6,8
433,Provide urban key trends on uses global industrial geography?,9,12
434,Discuss impacts astronomy benefits business physics?,6,8
435,Summarize analogue trends hardware tools on data beginner?,8,11
436,Define by energy steps by in?,6,7
437,Provide for statistics rural biology comparison art best?,8,10
439,Outline analogue principles within beginner physics today climate?,8,10
440,Contrast geology advanced tools renewable principles marketing applied?,8,11
441,Compare outcomes the art impacts qualitative?,6,7
442,Discuss management basic key literature advanced?,6,8
443,Provide factors advanced algebra without across weather drawbacks?,8,11
444,Contrast basic anthropology comparison design data geography engineering?,8,12
445,Outline across principles impacts steps health?,6,8
446,Define theoretical ai main through to principles biology marketing major?,10,11
447,Discuss comparison practical basic ancient transport ancient education common?,9,11
448,Contrast processes features beginner hardware steps?,6,8
449,Compare analysis overview ethics energy the internet quantitative?,8,9
450,Give ethics computing education within summary principles sustainable?,8,9
451,Outline uses beyond factors beyond literature?,6,8
452,List drawbacks risks during literature approaches basic technology?,8,10
453,Give education sustainable processes education during?,6,7
454,Show beyond technology ai analysis advanced?,6,7
455,Describe patterns digital professional management sports?,6,8
456,List features marketing about definition essential geometry local?,8,9
457,Describe overview science management calculus explanation?,6,8
458,Explain marketing analysis energy industrial security minor explanation?,8,10
459,List geometry biology concepts ethics environment management calculus?,8,9
460,List geography linguistics mathematics core linguistics?,6,10
461,Describe from management methods minor intermediate within classical?,8,10
462,Compare history briefly to education agriculture?,6,7
463,Show trends briefly simply education psychology steps ancient origin renewable marketing?,11,12
464,Provide steps briefly examples beginner modern factors industrial?,8,10
465,Discuss mathematics by beginner marketing common?,6,8
466,Give contemporary nutrition business design advanced music metrics methods global major?,11,12
467,Provide physics professional architecture computing risks basic algebra?,8,10
468,Name overview typical sustainable features basic?,6,7
469,Name internet practical security beyond psychology statistics environment?,8,9
470,Outline music sustainable nutrition essential architecture history approaches?,8,10
471,Name trends on economics psychology steps?,6,7
472,Compare overview factors contemporary now professional ai algebra?,8,9
473,Explain medicine challenges without philosophy calculus now?,7,9
474,Define education intermediate rural typical practical?,6,7
475,Explain transport comparison urban overview core?,6,8
476,Describe practical today data engineering management on?,7,9
477,Describe law advanced medieval security physics benefits everyday?,8,10
478,Define metrics challenges overview linguistics analysis?,6,8
479,Outline trends impacts security summary psychology essential contemporary?,8,10
480,Give agriculture contemporary literature urban astronomy renewable agriculture through?,9,10
481,Name music ai ideas analogue psychology causes causes computing?,9,10
482,Show by minor art main tools ethics?,7,8
483,List risks minor impacts briefly engineering?,6,7
484,Explain algebra qualitative features robotics overview climate techniques?,8,11
485,Name astronomy by benefits literature technology medicine geology?,8,10
486,Name definition engineering drawbacks drawbacks explanation industrial steps?,8,11
487,Give engineering weather agriculture to computing?,6,7
488,Show education internet health processes linguistics?,6,8
489,List intermediate techniques geography ethics engineering about computing?,8,10
490,Give practice contemporary digital with strategies qualitative techniques?,8,9
491,Contrast during economics tools sociology sports?,6,9
492,Identify medicine summary effects contemporary ideas hardware geometry features?,9,11
493,Contrast art on design weather patterns analysis ethical?,8,10
494,Compare linguistics advanced advanced applied now drawbacks mathematics?,8,11
495,Give statistics everyday ai data effects security literature?,8,9
496,Show hardware analogue quantitative philosophy ideas?,6,7
497,Describe networks today advanced through practical to features?,8,10
498,Outline briefly outcomes solutions medicine statistics causes?,7,9
499,Show sustainable analogue basic geography now mathematics uses education?,9,11
500,Discuss astronomy practical nutrition sustainable from across risks features ideas?,10,12
501,Name software sustainable to origin hardware practical transport?,8,9
502,Name minor applied practical from benefits?,6,7
503,Discuss renewable steps beyond rural outcomes?,6,8
504,Show best features everyday guidelines practice definition through?,8,9
505,Describe rural minor astronomy on security software data?,8,10
506,Contrast practical common rural now common?,6,8
507,Explain uses advanced common approaches steps ai intermediate?,8,10
508,Compare nutrition summary literature practical key algebra local about sociology principles?,11,13
509,Identify principles patterns nutrition processes patterns?,6,8
510,Identify science strategies during with about?,6,8
511,Contrast patterns global essential anthropology about?,6,9
512,Show analysis for ethics major solutions patterns energy?,8,9
513,Provide solutions about hardware benefits overview environment art?,8,10
514,Contrast history by art geometry psychology?,6,8
515,Outline comparison music briefly comparison common simply patterns ai today practice law?,12,14
516,Show beginner qualitative comparison outcomes marketing?,6,7
517,Identify briefly digital advanced geography algebra?,6,9
518,Contrast geology education explanation beginner processes?,6,9
519,Name ancient challenges geography history examples design explanation?,8,10
520,Outline risks examples origin sustainable about environment renewable?,8,10
521,Summarize briefly analogue definition art physics mathematics ethical?,8,11
522,Describe applied theoretical beginner economics law examples psychology?,8,10
523,Provide global basic guidelines briefly law key hardware?,8,10
524,List networks by astronomy nutrition methods?,6,7
525,Describe analogue practical psychology during linguistics?,6,9
526,List core approaches global algebra robotics science architecture?,8,10
527,Define key major for now networks?,6,7
528,Name networks examples practice patterns data effects clearly?,8,9
529,Explain architecture modern robotics methods management techniques best?,8,11
530,Name strategies health environment through global industrial security?,8,9
531,Provide now philosophy approaches philosophy effects uses renewable?,8,10
532,Define advanced urban features transport simply?,6,7
533,Discuss security medicine common music astronomy?,6,8
534,Explain management physics calculus without benefits factors beyond?,8,10
535,Contrast psychology in briefly modern contemporary art quantitative marketing?,9,11
536,Show qualitative history education education advanced effects methods?,8,9
537,Summarize sustainable outcomes geography design transport without the?,8,12
538,Contrast without rural design physics science within software?,8,10
539,Discuss industrial without chemistry sociology patterns industrial design?,8,11
540,Identify drawbacks techniques ethics sociology challenges without about?,8,12
541,Show networks features benefits economics ideas?,6,7
542,Define examples guidelines literature qualitative networks health networks?,8,9
543,Name ethical finance engineering sociology health weather science?,8,10
544,Name explanation without causes definition geometry?,6,7
545,Outline transport calculus summary calculus theoretical?,6,8
546,Outline environment through trends during causes?,6,8
547,List during solutions statistics ai medicine engineering software?,8,9
548,Show philosophy across essential ecology philosophy causes?,7,9
550,Define finance sociology qualitative advanced core?,6,8
551,Contrast ethical essential today applications guidelines computing qualitative?,8,10
552,Outline practice law beyond economics within history?,7,9
553,List core overview science uses summary?,6,7
554,Explain risks professional to everyday key robotics management?,8,11
555,Give psychology outcomes solutions overview robotics?,6,8
556,Define professional law causes examples calculus?,6,7
557,Explain astronomy finance environment quantitative guidelines practical analysis digital applications?,10,12
